Kode;Kodetekst 
A01;Smerte generell/flere steder
A01;Kronisk generell smerte
A01;Smerte akutt INA
A01;Smerte diffus
A01;Smerte kronisk INA
A01;Smerte kronisk intraktabel
A01;Smerte mange steder
A02;Frysninger
A02;Frostfølelse
A02;Kuldegysninger
A02;Kuldestivhet
A02;Hutring/skjelving
A03;Feber
A03;Feber av ukjent årsak
A03;Feber med frostanfall
A03;Feber vedvarende
A03;Forhøyet kroppstemperatur INA
A03;Pyreksi
A03;Tilbakevendende feber
A03;Forhøyet kroppstemperatur
A04;Slapphet/tretthet
A04;Asteni INA
A04;Generell tretthet
A04;Kraftløshet
A04;Kronisk tretthet
A04;ME (myalgisk encefalomyelopati)
A04;Myalgisk encefalomyelopati
A04;Postviralt tretthetssyndrom
A04;Postviralt utmattelsessyndrom
A04;Slapphet
A04;Svakhetsfølelse generell
A04;Tretthet
A04;Utmattelse
A04;Postviral tretthet
A04;kronisk utmattelsessyndrom
A04;Utslitthet
A05;Sykdomsfølelse
A05;Følelse av svekket helsetilstand
A05;Illebefinnende
A05;Utilpasshet
A05;Uvelhet
A06;Besvimelse/synkope
A06;Anfall illebefinnende
A06;Besvimelse INA
A06;Besvimelse vasovagal
A06;Besvimelsestendens
A06;Blackout
A06;Kollaps
A06;Synkope
A06;Vasovagal besvimelse
A07;Bevisstløshet/koma
A07;Bevissthetstap
A07;Bevisstløshet
A07;Koma
A07;Somnolens
A07;Sopor
A07;Stupor
A07;Søvnighet/døsighet
A08;Hevelse/oppfylning IKA
A08;Hevelse INA
A08;Kul IKA
A08;Kul
A08;Oppfylning INA
A08;Klump IKA
A09;Svetteproblemer
A09;Fotsvette
A09;Hyperhidrose generalisert
A09;Hyperhidrose lokalisert
A09;Hyperhidrose
A09;Nattesvette
A09;Svettelukt
A09;Økt svette
A09;Økt svetting
A10;Blødning IKA
A10;Blod i avføring som ikke synes
A10;Blødning indre INA
A10;Blødning med ukjent lokalisasjon/årsak
A10;Blødning sekundær spontan
A10;Blødning skjult/okkult INA
A10;Blødning ukjent lokalisasjon
A10;Ekkymose
A10;Ruptur blodkar
A11;Brystsmerte IKA
A13;Engstelig for behandling
A13;Legemiddel virkning spørsmål om
A13;Medisinsk behandling spørsmål om
A13;Bekymringer/spørsmål knyttet til medisinsk behandling og dens konsekvenser
A16;Irritabelt/urolig spedbarn
A16;Eksessiv skriking spedbarn
A16;Uspesifikke symptomer spedbarn
A16;Uvanlig/overdreven skriking og uro spedbarn
A16;Ømfintlig spedbarn
A18;Bekymret/opptatt av utseende IKA
A191;Kjønnsinkongruens
A20;Dødshjelp diskusjon/spørsmål om
A20;Eutanasi diskusjon/spørsmål om
A21;Økt risiko for ondartet svulst
A21;Andre risikofaktorer for ondartet svulst
A21;Familiær belastning vedrørende ondartet svulst
A21;Ondartet svulst familiær belastning
A21;Ondartet svulst i sykehistorien
A21;Risiko pga tidligere behandling
A23;Risiko for sykdom IKA
A23;Allergi familiær belastning
A23;Astma familiær belastning
A23;Diabetes familiær belastning
A23;Eksem familiær belastning
A23;Immunisering ikke utført
A23;Medfødt feil familiær belastning
A23;Nervesystemsykdom familiær belastning
A23;Problemer med røykeavvenning
A23;Psoriasis familiær belastning
A23;Psykisk lidelse familiær belastning
A23;Reumatisk sykd familiær belastning
A23;Risiko pga alkoholbruk
A23;Risiko pga kosthold
A23;Risiko pga legemiddelbruk
A23;Risiko pga levevaner INA
A23;Risiko pga lite mosjon
A23;Risiko pga seksualatferd
A23;Risiko pga smitte
A23;Risiko pga tobakksbruk
A23;Seksuell høyrisikoatferd
A23;Sykdom familiær belastning IKA
A23;Andre risikofaktorer for sykdom
